Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep) 
 01/21  03:25:00,3.8,100.0,0.0,0.0,20.0,37.806716777635177,20.0,23.0,100.0,47.613811731053569,607095.025511824,0.0,607095.025511824,2.0,607095.025511824,0.0,523560.7272391524,0.0,607095.025511824,0.0 
 01/21  03:30:00,3.8,100.0,0.0,0.0,20.0,37.80945632320982,20.0,23.0,100.0,47.61424372831025,607232.4943599774,0.0,607232.4943599774,2.0,607232.4943599773,0.0,523698.1960873058,0.0,607232.4943599774,0.0 
 01/21  03:35:00,3.8,100.0,0.0,0.0,20.000000000000005,37.81211108659803,20.0,23.0,100.0,47.61466547902567,607365.2330895541,0.0,607365.2330895541,2.0,607365.2330895541,0.0,523830.9348168826,0.0,607365.2330895541,0.0 
 01/21  03:40:00,3.8,100.0,0.0,0.0,20.0,37.81468369161135,20.0,23.0,100.0,47.615076982894297,607493.4528710048,0.0,607493.4528710048,2.0,607493.4528710048,0.0,523959.1545983332,0.0,607493.4528710048,0.0 
 01/21  03:45:00,3.8,100.0,0.0,0.0,19.999999999999998,37.81717891489458,20.0,23.0,100.0,47.615478239618287,607617.3531818863,0.0,607617.3531818863,2.0,607617.3531818864,0.0,524083.0549092147,0.0,607617.3531818863,0.0 
 01/21  03:50:00,3.8,100.0,0.0,0.0,20.000000000000005,37.81959251826466,20.0,23.0,100.0,47.6158692489067,607737.1225920786,0.0,607737.1225920786,2.0,607737.1225920785,0.0,524202.824319407,0.0,607737.1225920786,0.0 
 01/21  03:55:00,3.8,100.0,0.0,0.0,20.0,37.821933591494367,20.0,23.0,100.0,47.61625001047677,607852.9394881043,0.0,607852.9394881043,2.0,607852.9394881044,0.0,524318.6412154328,0.0,607852.9394881043,0.0 
 01/21  04:00:00,3.8,100.0,0.0,0.0,20.000000000000005,37.82420221432374,20.0,23.0,100.0,47.616621988539097,607964.9727417006,0.0,607964.9727417006,2.0,607964.9727417005,0.0,524430.674469029,0.0,607964.9727417006,0.0 
 01/21  04:05:00,3.8,100.0,0.0,0.0,19.999999999999998,37.82640286350101,20.0,23.0,100.0,47.617103807488408,618832.9655339203,0.0,618832.9655339203,2.0,618832.9655339206,0.0,520124.70782989016,0.0,618832.9655339203,0.0 
 01/21  04:10:00,3.8,100.0,0.0,0.0,20.000000000000005,37.82853100806508,20.0,23.0,100.0,47.617553412474389,618027.4481396379,0.0,618027.4481396379,2.0,618027.4481396379,0.0,519319.1904356075,0.0,618027.4481396379,0.0 
 01/21  04:15:00,3.8,100.0,0.0,0.0,20.0,37.8305954572905,20.0,23.0,100.0,47.61788585961389,617611.0432961404,0.0,617611.0432961404,2.0,617611.0432961405,0.0,518902.78559211009,0.0,617611.0432961404,0.0 
 01/21  04:20:00,3.8,100.0,0.0,0.0,20.000000000000005,37.83259601697112,20.0,23.0,100.0,47.61816265679523,617244.0262435484,0.0,617244.0262435484,2.0,617244.0262435484,0.0,518535.76853951797,0.0,617244.0262435484,0.0 
 01/21  04:25:00,3.8,100.0,0.0,0.0,20.0,37.83453466433535,20.0,23.0,100.0,47.61844238488146,616919.9966952044,0.0,616919.9966952044,2.0,616919.9966952044,0.0,518211.738991174,0.0,616919.9966952044,0.0 
 01/21  04:30:00,3.8,100.0,0.0,0.0,19.999999999999998,37.83641555059199,20.0,23.0,100.0,47.61873383128726,616632.7704229567,0.0,616632.7704229567,2.0,616632.7704229569,0.0,517924.5127189265,0.0,616632.7704229567,0.0 
 01/21  04:35:00,3.8,100.0,0.0,0.0,20.0,37.838233826967698,20.0,23.0,100.0,47.61902527969439,616376.5920052903,0.0,616376.5920052903,2.0,616376.5920052903,0.0,517668.33430125997,0.0,616376.5920052903,0.0 
 01/21  04:40:00,3.8,100.0,0.0,0.0,20.000000000000005,37.839997998254599,20.0,23.0,100.0,47.61930354888455,616146.9885996676,0.0,616146.9885996676,2.0,616146.9885996676,0.0,517438.7308956372,0.0,616146.9885996676,0.0 
 01/21  04:45:00,3.8,100.0,0.0,0.0,20.0,37.8417075728762,20.0,23.0,100.0,47.61956717401091,615940.4030504869,0.0,615940.4030504869,2.0,615940.4030504872,0.0,517232.14534645676,0.0,615940.4030504869,0.0 
 01/21  04:50:00,3.8,100.0,0.0,0.0,20.0,37.84336424046689,20.0,23.0,100.0,47.61981761939683,2122244.707879068,0.0,2122244.707879068,2.0,2122244.7078790676,0.0,517045.69318169649,0.0,2122244.707879068,0.0 
 01/21  04:55:00,3.8,100.0,0.0,0.0,20.0,37.84496963837065,20.0,23.0,100.0,47.62005342020428,772063.6669792791,0.0,772063.6669792791,2.0,772063.6669792793,0.0,516565.11082316687,0.0,772063.6669792791,0.0 
 01/21  05:00:00,3.8,100.0,0.0,0.0,20.0,37.84652535325939,20.0,23.0,100.0,47.62027457618863,614681.9915731874,0.0,614681.9915731874,2.0,614681.9915731873,0.0,515973.7338691569,0.0,614681.9915731874,0.0 
 01/21  05:05:00,3.8,100.0,0.0,0.0,20.000000000000005,37.84803292270111,20.0,23.0,100.0,47.62054553045571,631951.4867448368,0.0,631951.4867448368,2.0,631951.4867448367,0.0,508585.54496484846,0.0,631951.4867448368,0.0 
